-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS10M_MIN              MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WD2M                   MERRA-2 Wind Direction at 2 Meters (Degrees) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_PAR_TOT,T2M,T2MDEW,PRECTOTCORR,GWETTOP,GWETROOT,RH2M,QV2M,WS10M_MIN,WS10M,WD2M
20.75,87.75,2022,1,75.59,22.73,17.55,0.01,1.0,-999.0,72.56,12.35,5.03,5.67,27.82
20.75,88.25,2022,1,77.52,22.88,17.54,0.02,1.0,-999.0,71.83,12.32,5.04,5.71,56.35
20.75,88.75,2022,1,77.52,22.98,17.48,0.02,1.0,-999.0,71.16,12.27,4.9,5.71,111.88
20.75,89.25,2022,1,78.18,23.02,17.43,0.01,1.0,-999.0,70.76,12.24,4.61,5.57,109.7
20.75,89.75,2022,1,78.18,22.9,17.42,0.0,1.0,-999.0,71.24,12.24,4.37,5.59,108.41
20.75,90.25,2022,1,85.59,22.79,17.51,0.0,1.0,-999.0,72.16,12.31,4.36,5.75,113.19
20.75,90.75,2022,1,85.59,22.76,17.77,0.0,1.0,-999.0,73.41,12.51,4.67,6.05,148.54
20.75,91.25,2022,1,89.63,22.84,18.23,0.0,1.0,-999.0,75.19,12.88,5.22,6.56,258.22
20.75,91.75,2022,1,89.63,23.1,18.2,0.0,0.78,-999.0,73.89,12.85,5.12,6.26,296.19
20.75,92.25,2022,1,92.38,21.55,17.27,0.0,0.67,0.62,77.42,12.24,3.63,4.42,325.21
20.75,92.75,2022,1,92.38,19.98,14.65,0.0,0.6,0.61,74.21,10.66,2.12,2.76,301.23
21.25,87.75,2022,1,71.27,21.09,16.39,0.06,0.95,-999.0,74.96,11.47,4.53,5.15,59.6
21.25,88.25,2022,1,70.45,21.35,16.5,0.07,0.95,-999.0,74.3,11.55,4.66,5.21,138.55
21.25,88.75,2022,1,70.45,21.56,16.47,0.05,0.94,-999.0,73.25,11.51,4.62,5.2,182.25
21.25,89.25,2022,1,77.57,21.95,16.48,0.03,0.94,-999.0,71.42,11.53,4.24,5.06,173.9
21.25,89.75,2022,1,77.57,22.14,16.54,0.01,0.94,-999.0,70.76,11.57,4.01,5.14,189.1
21.25,90.25,2022,1,79.91,22.19,16.74,0.0,0.96,-999.0,71.35,11.72,4.08,5.34,200.78
21.25,90.75,2022,1,79.91,22.22,17.11,0.0,0.99,-999.0,72.86,12.01,4.46,5.69,216.31
21.25,91.25,2022,1,86.46,22.4,17.67,0.0,1.0,-999.0,74.53,12.45,5.07,6.3,277.56
