-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2015 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS10M_MIN              MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WD2M                   MERRA-2 Wind Direction at 2 Meters (Degrees) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_PAR_TOT,T2M,T2MDEW,PRECTOTCORR,GWETTOP,GWETROOT,RH2M,QV2M,WS10M_MIN,WS10M,WD2M
20.75,87.75,2015,1,21.48,23.26,21.08,14.3,1.0,-999.0,87.56,15.52,7.07,8.81,83.09
20.75,88.25,2015,1,22.77,23.41,21.01,11.7,1.0,-999.0,86.36,15.44,6.56,8.24,82.28
20.75,88.75,2015,1,22.77,23.64,21.02,10.32,1.0,-999.0,85.19,15.44,6.24,7.79,80.03
20.75,89.25,2015,1,24.06,23.68,20.98,10.62,1.0,-999.0,84.74,15.39,5.73,7.23,74.91
20.75,89.75,2015,1,24.06,23.73,20.97,9.44,1.0,-999.0,84.44,15.38,5.42,6.73,68.17
20.75,90.25,2015,1,24.29,23.78,21.01,7.44,1.0,-999.0,84.36,15.41,5.18,6.3,60.74
20.75,90.75,2015,1,24.29,23.93,21.07,5.09,1.0,-999.0,83.94,15.45,4.89,5.88,53.04
20.75,91.25,2015,1,36.94,24.39,21.11,2.71,1.0,-999.0,81.94,15.5,4.43,5.32,44.97
20.75,91.75,2015,1,36.94,24.94,20.72,2.91,0.79,-999.0,77.49,15.14,2.31,4.06,44.49
20.75,92.25,2015,1,45.65,24.24,19.87,2.08,0.61,0.56,77.31,14.4,0.9,2.6,67.55
20.75,92.75,2015,1,45.65,23.37,18.59,1.91,0.51,0.54,76.11,13.48,0.37,1.65,96.66
21.25,87.75,2015,1,26.31,21.55,19.34,9.83,0.91,-999.0,87.31,13.94,5.52,7.69,71.58
21.25,88.25,2015,1,25.56,21.89,19.27,7.1,0.9,-999.0,85.16,13.88,4.92,7.09,72.36
21.25,88.75,2015,1,25.56,22.3,19.25,5.99,0.89,-999.0,82.94,13.85,4.82,6.63,71.81
21.25,89.25,2015,1,28.53,22.59,19.33,5.98,0.87,-999.0,81.89,13.9,4.82,6.24,67.21
21.25,89.75,2015,1,28.53,22.72,19.46,5.21,0.86,-999.0,81.89,14.01,4.83,6.03,59.93
21.25,90.25,2015,1,27.44,22.76,19.67,4.45,0.9,-999.0,82.71,14.18,4.83,5.92,51.89
21.25,90.75,2015,1,27.44,22.85,19.96,4.2,0.98,-999.0,83.72,14.43,4.74,5.78,43.07
21.25,91.25,2015,1,33.67,23.22,20.35,4.67,1.0,-999.0,83.84,14.8,4.34,5.42,31.47
21.25,91.75,2015,1,33.67,23.68,20.46,4.42,0.67,-999.0,82.22,14.9,2.5,4.18,31.54
21.25,92.25,2015,1,34.8,22.55,19.43,3.47,0.54,0.53,83.54,14.14,1.02,2.09,86.48
21.25,92.75,2015,1,34.8,21.47,17.82,2.87,0.49,0.5,81.7,13.09,0.29,0.92,109.29
21.75,87.75,2015,1,26.31,19.82,17.51,6.92,0.75,0.66,86.83,12.44,3.92,5.75,63.74
21.75,88.25,2015,1,25.56,20.52,17.48,4.75,0.73,0.67,83.11,12.41,3.05,5.29,65.29
21.75,88.75,2015,1,25.56,21.14,17.45,3.36,0.68,0.65,79.91,12.36,2.57,4.72,65.59
21.75,89.25,2015,1,28.53,21.63,17.57,2.91,0.64,0.64,78.18,12.46,2.83,4.17,62.12
21.75,89.75,2015,1,28.53,21.71,17.82,2.45,0.64,0.65,79.01,12.65,3.15,4.22,54.44
21.75,90.25,2015,1,27.44,21.71,18.2,2.09,0.71,0.65,80.79,12.95,3.51,4.58,46.26
