-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2017 through 12/31/2017 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS10M_MIN              MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WD2M                   MERRA-2 Wind Direction at 2 Meters (Degrees) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_PAR_TOT,T2M,T2MDEW,PRECTOTCORR,GWETTOP,GWETROOT,RH2M,QV2M,WS10M_MIN,WS10M,WD2M
20.75,87.75,2017,1,71.77,23.6,18.04,0.02,1.0,-999.0,71.03,12.77,1.63,2.17,67.88
20.75,88.25,2017,1,73.32,23.82,17.4,0.02,1.0,-999.0,67.34,12.26,1.57,2.26,60.19
20.75,88.75,2017,1,73.32,24.05,17.03,0.0,1.0,-999.0,64.84,11.96,1.57,2.48,89.81
20.75,89.25,2017,1,77.0,24.23,16.6,0.0,1.0,-999.0,62.39,11.65,1.42,2.54,103.41
20.75,89.75,2017,1,77.0,24.25,16.28,0.0,1.0,-999.0,61.09,11.42,1.5,2.75,116.58
20.75,90.25,2017,1,82.45,24.23,16.32,0.0,1.0,-999.0,61.34,11.46,1.92,3.22,160.78
20.75,90.75,2017,1,82.45,24.24,16.82,0.0,1.0,-999.0,63.28,11.84,2.68,3.93,220.7
20.75,91.25,2017,1,89.38,24.38,17.8,0.01,1.0,-999.0,66.75,12.57,3.66,4.78,234.25
20.75,91.75,2017,1,89.38,24.43,18.35,0.02,0.81,-999.0,68.85,13.01,4.2,4.9,226.55
20.75,92.25,2017,1,91.23,22.58,18.38,0.06,0.74,0.67,77.61,13.09,2.79,3.51,238.78
20.75,92.75,2017,1,91.23,20.8,17.49,0.06,0.68,0.67,82.31,12.56,1.26,2.17,219.53
21.25,87.75,2017,1,61.14,22.74,17.32,0.05,0.93,-999.0,71.69,12.21,1.12,1.77,86.25
21.25,88.25,2017,1,61.98,22.86,16.66,0.03,0.92,-999.0,68.26,11.69,1.37,1.93,100.65
21.25,88.75,2017,1,61.98,22.99,16.49,0.0,0.91,-999.0,67.03,11.57,1.75,2.38,165.38
21.25,89.25,2017,1,69.68,23.46,16.04,0.0,0.9,-999.0,63.26,11.25,1.36,2.34,222.22
21.25,89.75,2017,1,69.68,23.74,15.74,0.0,0.9,-999.0,60.96,11.04,1.19,2.39,243.04
21.25,90.25,2017,1,71.85,23.8,15.85,0.0,0.93,-999.0,61.15,11.13,1.46,2.73,251.86
21.25,90.75,2017,1,71.85,23.78,16.43,0.0,0.98,-999.0,63.54,11.55,2.22,3.43,255.64
21.25,91.25,2017,1,85.15,23.94,17.33,0.01,1.0,-999.0,66.56,12.21,3.32,4.38,244.22
21.25,91.75,2017,1,85.15,23.41,17.69,0.01,0.73,-999.0,70.31,12.5,3.59,4.2,201.69
21.25,92.25,2017,1,83.22,20.68,17.43,0.04,0.7,0.67,81.64,12.43,1.88,2.47,175.33
21.25,92.75,2017,1,83.22,18.73,16.26,0.03,0.68,0.65,85.88,11.85,0.52,1.29,162.81
21.75,87.75,2017,1,61.14,21.42,16.16,0.05,0.78,0.72,72.82,11.36,0.67,1.47,110.51
21.75,88.25,2017,1,61.98,21.37,15.72,0.02,0.78,0.74,70.96,11.02,1.27,1.83,135.34
21.75,88.75,2017,1,61.98,21.23,15.5,0.0,0.76,0.73,70.81,10.89,1.78,2.35,186.19
21.75,89.25,2017,1,69.68,21.75,15.2,0.0,0.75,0.73,67.16,10.68,1.45,2.18,252.61
21.75,89.75,2017,1,69.68,22.08,15.08,0.0,0.75,0.74,65.12,10.58,1.18,2.11,279.81
21.75,90.25,2017,1,71.85,22.23,15.4,0.0,0.79,0.74,65.76,10.82,1.23,2.31,279.84
21.75,90.75,2017,1,71.85,22.42,16.17,0.0,0.86,-999.0,68.12,11.37,1.76,2.86,266.09
21.75,91.25,2017,1,85.15,23.1,17.13,0.0,0.88,-999.0,69.22,12.05,2.86,3.77,253.34
21.75,91.75,2017,1,85.15,22.06,17.14,0.0,0.79,-999.0,73.97,12.1,2.62,3.25,189.69
21.75,92.25,2017,1,83.22,19.66,16.53,0.0,0.73,0.69,82.3,11.84,1.23,1.97,167.03
21.75,92.75,2017,1,83.22,17.7,15.0,0.0,0.68,0.65,85.06,11.15,0.41,1.13,154.73
22.25,87.75,2017,1,61.27,20.25,14.95,0.02,0.69,0.68,72.68,10.52,0.55,1.24,141.15
22.25,88.25,2017,1,61.94,20.19,14.55,0.0,0.68,0.68,71.26,10.24,1.12,1.75,172.42
22.25,88.75,2017,1,61.94,19.99,14.06,0.0,0.66,0.68,70.53,9.92,1.5,2.21,215.97
22.25,89.25,2017,1,71.19,20.19,14.1,0.0,0.67,0.7,69.71,9.94,1.33,2.03,268.84
22.25,89.75,2017,1,71.19,20.21,14.36,0.0,0.69,0.71,70.29,10.11,1.18,1.96,295.6
22.25,90.25,2017,1,71.24,20.33,14.91,0.0,0.72,0.73,71.81,10.49,1.18,2.03,292.48
22.25,90.75,2017,1,71.24,20.8,15.77,0.0,0.74,0.74,73.44,11.1,1.49,2.33,267.99
22.25,91.25,2017,1,84.47,21.87,16.92,0.0,0.75,0.74,73.94,11.9,2.23,2.98,242.94
22.25,91.75,2017,1,84.47,20.99,16.63,0.0,0.77,0.75,76.86,11.73,1.51,2.32,186.16
22.25,92.25,2017,1,83.09,19.49,15.99,0.0,0.74,0.7,81.36,11.47,0.7,1.62,175.89
22.25,92.75,2017,1,83.09,17.54,14.28,0.0,0.69,0.65,83.15,10.72,0.34,1.1,161.19
22.75,87.75,2017,1,61.27,19.81,14.24,0.0,0.64,0.62,71.16,10.05,0.58,1.1,205.78
