-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 12/31/2014 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS10M_MIN              MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WD2M                   MERRA-2 Wind Direction at 2 Meters (Degrees) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_PAR_TOT,T2M,T2MDEW,PRECTOTCORR,GWETTOP,GWETROOT,RH2M,QV2M,WS10M_MIN,WS10M,WD2M
20.75,87.75,2014,1,75.74,23.25,16.23,0.0,1.0,-999.0,64.62,11.38,3.68,4.24,76.2
20.75,88.25,2014,1,77.4,23.28,15.94,0.0,1.0,-999.0,63.3,11.17,4.44,4.91,139.38
20.75,88.75,2014,1,77.4,23.29,15.62,0.0,1.0,-999.0,62.0,10.93,5.02,5.53,171.91
20.75,89.25,2014,1,84.43,23.34,15.55,0.0,1.0,-999.0,61.52,10.88,4.54,5.62,170.33
20.75,89.75,2014,1,84.43,23.06,15.56,0.0,1.0,-999.0,62.66,10.88,4.17,5.6,196.96
20.75,90.25,2014,1,85.98,22.69,15.68,0.0,1.0,-999.0,64.54,10.97,4.34,5.71,271.03
20.75,90.75,2014,1,85.98,22.5,15.97,0.0,1.0,-999.0,66.48,11.18,5.15,6.04,354.15
20.75,91.25,2014,1,89.52,22.73,16.55,0.0,1.0,-999.0,68.03,11.6,6.31,6.57,350.25
20.75,91.75,2014,1,89.52,22.8,16.5,0.0,0.78,-999.0,67.53,11.57,5.76,6.15,337.75
20.75,92.25,2014,1,91.12,20.74,15.31,0.0,0.64,0.59,72.39,10.82,3.64,4.19,328.7
20.75,92.75,2014,1,91.12,19.39,12.71,0.0,0.55,0.57,69.44,9.36,1.62,2.47,290.41
21.25,87.75,2014,1,72.19,21.85,15.43,0.0,0.92,-999.0,67.39,10.82,3.0,3.87,123.68
21.25,88.25,2014,1,71.58,21.91,15.13,0.0,0.91,-999.0,65.94,10.63,3.73,4.41,168.34
21.25,88.75,2014,1,71.58,21.88,14.71,0.0,0.9,-999.0,64.34,10.31,4.36,4.9,183.94
21.25,89.25,2014,1,78.84,22.15,14.73,0.0,0.89,-999.0,63.14,10.31,3.81,4.91,188.31
21.25,89.75,2014,1,78.84,22.24,14.92,0.0,0.88,-999.0,63.42,10.44,3.45,5.0,243.56
21.25,90.25,2014,1,80.59,22.14,15.24,0.0,0.91,-999.0,64.97,10.66,3.7,5.22,306.44
21.25,90.75,2014,1,80.59,22.03,15.64,0.0,0.98,-999.0,67.04,10.95,4.59,5.61,346.8
