-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2012 through 12/31/2012 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS10M_MIN              MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WD2M                   MERRA-2 Wind Direction at 2 Meters (Degrees) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_PAR_TOT,T2M,T2MDEW,PRECTOTCORR,GWETTOP,GWETROOT,RH2M,QV2M,WS10M_MIN,WS10M,WD2M
20.75,87.75,2012,1,86.74,23.7,17.97,0.0,1.0,-999.0,70.41,12.73,1.47,2.99,64.53
20.75,88.25,2012,1,87.83,23.84,17.51,0.0,1.0,-999.0,67.89,12.37,0.86,2.71,70.17
20.75,88.75,2012,1,87.83,24.01,17.24,0.0,1.0,-999.0,66.09,12.18,0.37,2.62,98.97
20.75,89.25,2012,1,89.73,24.22,16.91,0.0,1.0,-999.0,63.92,11.93,0.36,2.62,96.82
20.75,89.75,2012,1,89.73,24.18,16.87,0.0,1.0,-999.0,63.92,11.91,0.46,2.66,109.14
20.75,90.25,2012,1,90.72,24.12,16.99,0.0,1.0,-999.0,64.64,11.99,0.72,2.88,129.34
20.75,90.75,2012,1,90.72,24.2,17.14,0.0,1.0,-999.0,64.92,12.1,1.4,3.41,165.11
20.75,91.25,2012,1,93.39,24.54,17.26,0.0,1.0,-999.0,63.84,12.18,2.95,4.34,238.44
20.75,91.75,2012,1,93.39,24.76,17.4,0.0,0.77,-999.0,63.57,12.27,2.35,4.42,267.81
20.75,92.25,2012,1,92.38,23.76,17.46,0.0,0.62,0.57,68.71,12.39,0.94,2.96,261.54
20.75,92.75,2012,1,92.38,23.2,17.28,0.0,0.54,0.57,71.4,12.4,0.28,1.78,221.01
21.25,87.75,2012,1,72.9,22.92,17.48,0.06,0.89,-999.0,72.02,12.39,0.79,2.5,73.88
21.25,88.25,2012,1,75.38,23.11,16.94,0.03,0.88,-999.0,68.82,11.98,0.41,2.18,93.96
21.25,88.75,2012,1,75.38,23.41,16.7,0.04,0.87,-999.0,66.59,11.78,0.33,2.23,122.66
21.25,89.25,2012,1,80.6,23.71,16.36,0.01,0.85,-999.0,63.92,11.54,0.43,2.27,123.16
21.25,89.75,2012,1,80.6,23.54,16.38,0.0,0.85,-999.0,64.53,11.55,0.43,2.37,141.81
21.25,90.25,2012,1,80.53,23.26,16.72,0.0,0.89,-999.0,67.04,11.79,0.46,2.53,152.11
21.25,90.75,2012,1,80.53,23.14,17.22,0.0,0.97,-999.0,69.66,12.16,0.86,2.92,175.94
21.25,91.25,2012,1,88.58,23.44,17.64,0.0,1.0,-999.0,70.19,12.48,2.21,3.9,283.56
21.25,91.75,2012,1,88.58,23.65,16.74,0.0,0.63,-999.0,65.34,11.8,2.07,3.86,236.71
21.25,92.25,2012,1,86.14,22.24,16.4,0.0,0.53,0.54,70.93,11.66,0.85,2.18,194.44
