-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS10M_MIN              MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WD2M                   MERRA-2 Wind Direction at 2 Meters (Degrees) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_PAR_TOT,T2M,T2MDEW,PRECTOTCORR,GWETTOP,GWETROOT,RH2M,QV2M,WS10M_MIN,WS10M,WD2M
20.75,87.75,2021,1,68.8,23.04,14.5,0.0,1.0,-999.0,58.72,10.19,3.38,4.6,21.84
20.75,88.25,2021,1,77.69,23.24,14.56,0.01,1.0,-999.0,58.2,10.23,3.29,4.29,24.32
20.75,88.75,2021,1,77.69,23.2,14.58,0.01,1.0,-999.0,58.5,10.25,2.81,3.96,45.84
20.75,89.25,2021,1,82.11,23.1,14.8,0.0,1.0,-999.0,59.62,10.38,2.2,3.65,57.19
20.75,89.75,2021,1,82.11,22.76,15.37,0.0,1.0,-999.0,63.15,10.77,2.07,3.64,70.92
20.75,90.25,2021,1,85.0,22.43,16.06,0.0,1.0,-999.0,67.22,11.26,2.29,3.81,104.31
20.75,90.75,2021,1,85.0,22.31,16.73,0.0,1.0,-999.0,70.61,11.75,2.72,4.05,174.74
20.75,91.25,2021,1,92.34,22.47,17.34,0.0,1.0,-999.0,72.69,12.24,3.18,4.29,299.72
20.75,91.75,2021,1,92.34,22.93,17.72,0.0,0.82,-999.0,72.36,12.51,3.47,4.17,302.12
20.75,92.25,2021,1,93.22,21.61,17.62,0.0,0.74,0.67,78.49,12.5,2.23,3.03,283.61
20.75,92.75,2021,1,93.22,20.33,16.35,0.0,0.68,0.67,79.14,11.76,0.9,2.04,232.11
21.25,87.75,2021,1,71.26,20.94,13.39,0.02,0.92,-999.0,62.9,9.49,3.24,4.3,44.66
21.25,88.25,2021,1,73.49,21.37,13.77,0.04,0.92,-999.0,62.7,9.72,3.37,4.07,97.01
21.25,88.75,2021,1,73.49,21.55,14.03,0.04,0.91,-999.0,63.25,9.89,2.81,3.77,126.44
21.25,89.25,2021,1,78.13,21.95,14.29,0.02,0.91,-999.0,62.45,10.06,2.04,3.39,109.89
21.25,89.75,2021,1,78.13,21.96,14.91,0.01,0.91,-999.0,64.65,10.47,1.79,3.33,117.9
21.25,90.25,2021,1,82.55,21.87,15.66,0.0,0.94,-999.0,67.92,10.98,1.93,3.48,161.76
21.25,90.75,2021,1,82.55,21.89,16.38,0.0,0.98,-999.0,70.86,11.51,2.35,3.74,238.89
21.25,91.25,2021,1,90.7,22.18,17.03,0.0,1.0,-999.0,72.56,11.99,2.91,4.03,332.81
21.25,91.75,2021,1,90.7,22.12,17.17,0.0,0.74,-999.0,73.54,12.09,2.89,3.71,251.56
21.25,92.25,2021,1,89.61,19.85,16.54,0.0,0.7,0.67,81.75,11.79,1.4,2.25,194.28
21.25,92.75,2021,1,89.61,18.32,14.81,0.0,0.68,0.65,81.28,10.88,0.39,1.34,162.38
21.75,87.75,2021,1,71.26,17.95,11.65,0.04,0.76,0.71,68.88,8.51,2.68,3.68,129.8
21.75,88.25,2021,1,73.49,18.65,12.07,0.06,0.76,0.73,67.89,8.75,2.98,3.56,230.42
21.75,88.75,2021,1,73.49,19.01,12.44,0.05,0.76,0.73,68.22,8.97,2.62,3.29,203.22
21.75,89.25,2021,1,78.13,19.6,13.05,0.02,0.76,0.74,67.92,9.34,1.89,2.84,138.87
21.75,89.75,2021,1,78.13,19.8,13.87,0.01,0.77,0.76,70.19,9.81,1.68,2.83,182.69
21.75,90.25,2021,1,82.55,20.03,14.95,0.0,0.82,0.78,73.6,10.51,1.78,3.03,250.65
21.75,90.75,2021,1,82.55,20.52,16.09,0.0,0.88,-999.0,76.29,11.31,2.04,3.3,301.96
21.75,91.25,2021,1,90.7,21.34,16.9,0.0,0.89,-999.0,75.97,11.87,2.46,3.6,339.03
21.75,91.75,2021,1,90.7,20.7,16.5,0.0,0.8,-999.0,77.17,11.6,2.09,3.0,227.86
21.75,92.25,2021,1,89.61,18.87,15.44,0.0,0.74,0.7,81.2,11.08,0.91,1.82,169.05
21.75,92.75,2021,1,89.61,17.28,13.3,0.0,0.68,0.65,78.86,10.06,0.23,1.13,142.38
22.25,87.75,2021,1,68.81,15.97,9.98,0.03,0.67,0.66,70.24,7.62,2.18,3.02,251.09
22.25,88.25,2021,1,67.88,16.62,10.01,0.04,0.67,0.67,68.14,7.63,2.39,3.01,294.15
22.25,88.75,2021,1,67.88,17.1,10.24,0.03,0.66,0.68,67.72,7.75,2.29,2.84,244.25
22.25,89.25,2021,1,78.2,17.42,11.12,0.01,0.68,0.71,69.99,8.22,1.74,2.5,213.7
22.25,89.75,2021,1,78.2,17.43,12.37,0.0,0.71,0.73,74.8,8.9,1.76,2.54,273.19
22.25,90.25,2021,1,78.13,17.79,13.95,0.0,0.75,0.75,79.65,9.86,1.89,2.7,322.54
22.25,90.75,2021,1,78.13,18.7,15.54,0.0,0.78,0.77,82.33,10.91,1.94,2.89,326.92
22.25,91.25,2021,1,88.45,20.02,16.53,0.0,0.78,0.77,80.91,11.6,2.02,3.14,316.84
22.25,91.75,2021,1,88.45,19.39,15.66,0.0,0.78,0.77,79.83,11.01,1.28,2.3,225.62
22.25,92.25,2021,1,89.2,18.79,14.46,0.0,0.74,0.71,77.28,10.44,0.66,1.5,178.92
22.25,92.75,2021,1,89.2,17.25,12.05,0.0,0.68,0.65,73.21,9.37,0.3,1.05,145.3
22.75,87.75,2021,1,68.81,15.39,9.19,0.01,0.63,0.6,68.82,7.22,2.07,2.73,324.42
22.75,88.25,2021,1,67.88,15.74,9.04,0.01,0.61,0.6,67.2,7.13,2.16,2.75,302.92
22.75,88.75,2021,1,67.88,16.15,9.23,0.01,0.62,0.64,67.0,7.2,2.18,2.73,269.72
22.75,89.25,2021,1,78.2,16.3,10.25,0.0,0.66,0.68,70.9,7.74,1.9,2.64,302.92
22.75,89.75,2021,1,78.2,16.38,11.79,0.01,0.7,0.71,76.77,8.57,1.96,2.66,329.01
22.75,90.25,2021,1,78.13,16.86,13.44,0.01,0.73,0.74,81.31,9.53,1.99,2.66,339.49
22.75,90.75,2021,1,78.13,17.65,14.79,0.0,0.75,0.76,83.38,10.39,1.84,2.59,322.98
22.75,91.25,2021,1,88.45,18.21,15.4,0.0,0.77,0.77,84.0,10.83,1.56,2.48,265.25
22.75,91.75,2021,1,88.45,18.19,14.73,0.0,0.78,0.76,81.6,10.42,0.62,1.78,203.52
22.75,92.25,2021,1,89.2,18.51,13.59,0.0,0.73,0.69,74.89,9.89,0.56,1.44,170.38
22.75,92.75,2021,1,89.2,17.24,11.05,0.0,0.68,0.63,68.97,8.8,0.47,1.22,149.98
23.25,87.75,2021,1,60.83,15.32,8.7,0.0,0.6,0.57,67.05,7.01,2.06,2.71,328.21
23.25,88.25,2021,1,65.56,15.48,8.6,0.0,0.58,0.57,66.33,6.93,2.15,2.7,308.76
23.25,88.75,2021,1,65.56,15.62,8.96,0.0,0.61,0.62,67.66,7.08,2.23,2.77,310.16
23.25,89.25,2021,1,75.83,15.74,10.22,0.0,0.67,0.68,72.48,7.74,2.13,2.78,336.91
23.25,89.75,2021,1,75.83,16.08,11.86,0.01,0.7,0.7,78.09,8.62,2.05,2.76,339.41
23.25,90.25,2021,1,77.82,16.65,13.33,0.01,0.72,0.72,81.77,9.46,1.89,2.61,334.78
23.25,90.75,2021,1,77.82,17.23,14.26,0.0,0.75,0.74,83.04,10.05,1.53,2.27,307.88
23.25,91.25,2021,1,87.05,17.3,14.46,0.0,0.77,0.75,83.69,10.22,0.89,1.78,211.41
23.25,91.75,2021,1,87.05,17.5,14.26,0.0,0.76,0.73,82.19,10.15,0.32,1.39,167.71
23.25,92.25,2021,1,87.34,17.33,13.47,0.0,0.72,0.67,79.32,9.88,0.43,1.37,152.02
23.25,92.75,2021,1,87.34,16.37,10.82,0.0,0.65,0.62,72.31,8.74,0.43,1.34,152.97
23.75,87.75,2021,1,60.83,15.26,8.11,0.0,0.59,0.57,64.86,6.74,2.01,2.76,328.84
23.75,88.25,2021,1,65.56,15.28,8.34,0.0,0.58,0.57,65.89,6.81,2.1,2.74,323.81
23.75,88.75,2021,1,65.56,15.21,8.94,0.0,0.63,0.64,68.84,7.08,2.19,2.79,342.19
23.75,89.25,2021,1,75.83,15.51,10.4,0.0,0.68,0.68,73.84,7.84,2.12,2.83,339.11
23.75,89.75,2021,1,75.83,16.05,12.04,0.0,0.7,0.7,78.86,8.72,2.0,2.79,335.02
23.75,90.25,2021,1,77.82,16.7,13.27,0.0,0.71,0.7,81.53,9.42,1.66,2.48,330.71
23.75,90.75,2021,1,77.82,17.31,13.9,0.0,0.72,0.7,81.47,9.81,1.06,1.92,300.29
23.75,91.25,2021,1,87.05,17.76,14.11,0.0,0.73,0.7,80.34,9.98,0.25,1.31,191.22
23.75,91.75,2021,1,87.05,17.87,14.22,0.0,0.72,0.67,80.07,10.13,0.17,1.07,157.87
23.75,92.25,2021,1,87.34,17.06,13.83,0.0,0.7,0.65,82.25,10.13,0.25,1.16,150.6
23.75,92.75,2021,1,87.34,16.24,11.33,0.0,0.63,0.62,75.94,9.04,0.3,1.27,157.95
24.25,87.75,2021,1,64.88,14.96,7.56,0.0,0.6,0.58,63.76,6.51,1.98,2.78,328.29
24.25,88.25,2021,1,65.57,14.95,8.38,0.0,0.62,0.59,67.01,6.83,1.99,2.76,332.92
24.25,88.75,2021,1,65.57,14.83,9.08,0.0,0.66,0.65,70.53,7.17,2.0,2.73,335.25
24.25,89.25,2021,1,73.62,15.39,10.68,0.0,0.7,0.68,75.41,8.0,1.94,2.84,334.88
24.25,89.75,2021,1,73.62,16.08,12.3,0.0,0.71,0.69,79.78,8.89,1.81,2.72,333.21
24.25,90.25,2021,1,74.25,16.85,13.31,0.0,0.7,0.69,81.01,9.45,1.26,2.21,304.62
24.25,90.75,2021,1,74.25,17.59,13.64,0.0,0.7,0.67,79.24,9.64,0.52,1.52,244.23
24.25,91.25,2021,1,82.27,18.14,13.85,0.0,0.68,0.66,77.31,9.77,0.41,1.26,167.91
24.25,91.75,2021,1,82.27,17.99,14.13,0.0,0.71,0.66,79.04,10.01,0.3,1.21,153.63
24.25,92.25,2021,1,82.3,17.48,13.87,0.0,0.71,0.67,80.91,10.0,0.32,1.28,148.79
24.25,92.75,2021,1,82.3,16.95,12.16,0.0,0.66,0.64,77.19,9.27,0.35,1.34,155.59
24.75,87.75,2021,1,64.88,14.51,7.33,0.0,0.6,0.58,64.37,6.41,1.9,2.7,314.52
24.75,88.25,2021,1,65.57,14.59,8.43,0.0,0.65,0.61,68.34,6.86,1.84,2.69,321.24
24.75,88.75,2021,1,65.57,14.65,9.13,0.0,0.69,0.66,71.31,7.2,1.75,2.56,327.31
24.75,89.25,2021,1,73.62,15.46,10.96,0.0,0.7,0.67,76.36,8.18,1.73,2.61,331.79
24.75,89.75,2021,1,73.62,16.39,12.59,0.0,0.7,0.67,79.71,9.08,1.35,2.35,302.16
24.75,90.25,2021,1,74.25,17.17,13.41,0.0,0.69,0.67,79.86,9.55,0.83,1.89,235.73
24.75,90.75,2021,1,74.25,17.71,13.49,0.0,0.71,0.68,77.62,9.59,0.44,1.5,157.76
24.75,91.25,2021,1,82.27,18.03,13.59,0.0,0.72,0.69,76.12,9.64,0.55,1.67,121.44
24.75,91.75,2021,1,82.27,17.64,13.76,0.0,0.76,0.72,78.53,9.79,0.54,1.81,130.94
24.75,92.25,2021,1,82.3,17.11,13.42,0.0,0.78,0.74,80.34,9.68,0.62,1.71,130.57
24.75,92.75,2021,1,82.3,16.59,12.51,0.0,0.73,0.72,79.92,9.31,0.59,1.48,138.25
25.25,87.75,2021,1,68.7,14.0,7.43,0.0,0.6,0.57,66.62,6.43,1.56,2.45,297.41
