-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2016 through 12/31/2016 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS10M_MIN              MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WD2M                   MERRA-2 Wind Direction at 2 Meters (Degrees) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_PAR_TOT,T2M,T2MDEW,PRECTOTCORR,GWETTOP,GWETROOT,RH2M,QV2M,WS10M_MIN,WS10M,WD2M
20.75,87.75,2016,1,65.58,23.25,15.65,0.0,1.0,-999.0,62.37,10.94,1.71,2.43,59.92
20.75,88.25,2016,1,73.36,23.34,15.65,0.0,1.0,-999.0,62.08,10.93,1.61,2.54,88.04
20.75,88.75,2016,1,73.36,23.46,15.72,0.0,1.0,-999.0,61.88,10.96,1.89,2.72,111.56
20.75,89.25,2016,1,77.32,23.8,15.7,0.0,1.0,-999.0,60.52,10.96,2.01,2.67,128.56
20.75,89.75,2016,1,77.32,23.96,15.77,0.0,1.0,-999.0,60.22,11.01,1.93,2.72,159.18
20.75,90.25,2016,1,78.35,23.93,16.0,0.0,1.0,-999.0,61.2,11.17,2.11,3.04,198.04
20.75,90.75,2016,1,78.35,23.73,16.5,0.0,1.0,-999.0,63.96,11.54,2.69,3.64,238.11
20.75,91.25,2016,1,83.13,23.41,17.48,0.0,1.0,-999.0,69.28,12.27,3.5,4.37,270.69
20.75,91.75,2016,1,83.13,23.21,17.69,0.0,0.78,-999.0,71.11,12.46,3.92,4.61,268.31
20.75,92.25,2016,1,87.05,21.18,16.6,0.0,0.68,0.61,76.31,11.76,2.86,3.48,272.41
20.75,92.75,2016,1,87.05,19.7,13.67,0.0,0.6,0.61,71.49,10.02,1.58,2.3,248.08
21.25,87.75,2016,1,68.62,22.0,14.58,0.0,0.89,-999.0,63.24,10.23,1.14,2.16,87.07
21.25,88.25,2016,1,69.85,22.13,14.87,0.0,0.89,-999.0,63.8,10.39,1.29,2.3,133.16
21.25,88.75,2016,1,69.85,22.21,14.99,0.0,0.88,-999.0,64.0,10.47,1.75,2.59,166.56
21.25,89.25,2016,1,76.17,22.76,14.94,0.0,0.88,-999.0,61.6,10.44,1.83,2.46,197.89
21.25,89.75,2016,1,76.17,23.1,14.92,0.0,0.89,-999.0,60.12,10.42,1.64,2.3,240.76
21.25,90.25,2016,1,75.26,23.05,15.28,0.0,0.92,-999.0,61.72,10.68,1.56,2.4,259.44
21.25,90.75,2016,1,75.26,22.73,16.12,0.0,0.98,-999.0,66.39,11.27,1.85,2.88,266.26
21.25,91.25,2016,1,82.92,22.51,17.21,0.0,1.0,-999.0,71.94,12.05,2.66,3.69,321.69
21.25,91.75,2016,1,82.92,22.13,16.99,0.0,0.68,-999.0,72.74,11.93,2.95,3.73,235.34
21.25,92.25,2016,1,81.55,19.37,15.04,0.0,0.62,0.59,77.76,10.77,1.61,2.3,192.04
21.25,92.75,2016,1,81.55,17.95,11.4,0.0,0.58,0.57,69.99,8.81,0.53,1.31,176.65
21.75,87.75,2016,1,68.62,20.25,12.66,0.0,0.68,0.62,63.1,9.06,0.76,1.93,181.72
21.75,88.25,2016,1,69.85,20.5,13.0,0.0,0.69,0.65,63.51,9.28,1.15,2.13,220.74
21.75,88.75,2016,1,69.85,20.47,12.98,0.0,0.68,0.65,63.78,9.28,1.43,2.37,196.56
21.75,89.25,2016,1,76.17,21.01,12.97,0.0,0.69,0.67,61.58,9.28,1.28,2.14,195.59
